qid,scenario,type,question,as_of,gold_answer,answer,auto_verdict,auto_reason,human_verdict,human_note,gold_evidence,retrieved,gold_evidence_recall,latency_ms,tokens_in,tokens_out,error
Q001,eldercare,fact_recall,3月11日陈医生对王秀兰的降压用药做了什么交代？,2026-03-31T20:00:00,停用氨氯地平，改为缬沙坦 80mg，每天早饭后一片，两周后复查。,"根据记忆中的记录：
[2026-03-19T10:00:00] 陈医生：针对失眠加一个右佐匹克隆 1mg，睡前吃，睡得着就别吃，别每天都用。
[2026-03-10T09:10:00] 张护士：连着三天高压都在 150 上下，我跟陈医生反映一下，看要不要换药。
[2026-03-11T10:30:00] 陈医生：王奶奶的氨氯地平从今天停掉，换成缬沙坦 80mg，还是每天早饭后一片，两周后复查。
[2026-03-03T13:42:00] 王秀兰：午觉睡得沉，做了个梦，梦见回老家了。
[2026-03-04T13:44:00] 王秀兰：午觉睡得沉，做了个梦，梦见回老家了。
[2026-03-09T13:45:00] 王秀兰：午觉睡得沉，做了个梦，梦见回老家了。
[2026-03-10T13:40:00] 王秀兰：午觉睡得沉，做了个梦，梦见回老家了。
[2026-03-12T13:44:00] 王秀兰：午觉睡得沉，做了个梦，梦见回老家了。",对,命中全部关键事实,,,eld-d10-01,eld-d18-01 eld-d09-01 eld-d10-01 eld-d02-08 eld-d03-05 eld-d08-03 eld-d09-06 eld-d11-04,1.0,1.06,23,245,
Q002,eldercare,fact_recall,3月4日王秀兰说自己身体哪里不舒服？,2026-03-31T20:00:00,右腿膝盖发酸，上下楼梯时疼得厉害。,"根据记忆中的记录：
[2026-03-04T10:25:00] 护工-李梅：我记一下，王奶奶今天说膝盖不舒服，回头跟护士站说。
[2026-03-13T22:20:00] 护工-李梅：我记一下，王奶奶今天说咳嗽不舒服，回头跟护士站说。
[2026-03-22T09:45:00] 护工-李梅：我记一下，王奶奶今天说头晕不舒服，回头跟护士站说。
[2026-03-03T15:10:00] 王秀兰：来了就好，别老惦记着买东西，钱留着自己花。
[2026-03-10T14:40:00] 王秀兰：来了就好，别老惦记着买东西，钱留着自己花。
[2026-03-17T15:30:00] 王秀兰：来了就好，别老惦记着买东西，钱留着自己花。
[2026-03-24T15:00:00] 王秀兰：来了就好，别老惦记着买东西，钱留着自己花。
[2026-03-29T16:10:00] 王秀兰：来了就好，别老惦记着买东西，钱留着自己花。",对,命中全部关键事实,,,eld-d03-02 eld-d03-03,eld-d03-03 eld-d12-02 eld-d21-03 eld-d02-03 eld-d09-03 eld-d16-02 eld-d23-02 eld-d28-02,0.5,0.9,18,244,
Q003,eldercare,fact_recall,3月19日陈医生给王秀兰新加了什么药，怎么吃？,2026-03-31T20:00:00,加了右佐匹克隆 1mg，睡前服用，睡得着就不吃，不要每天用。,"根据记忆中的记录：
[2026-03-19T10:00:00] 陈医生：针对失眠加一个右佐匹克隆 1mg，睡前吃，睡得着就别吃，别每天都用。
[2026-03-10T09:10:00] 张护士：连着三天高压都在 150 上下，我跟陈医生反映一下，看要不要换药。
[2026-03-11T10:30:00] 陈医生：王奶奶的氨氯地平从今天停掉，换成缬沙坦 80mg，还是每天早饭后一片，两周后复查。
[2026-03-04T17:19:00] 护工-李梅：食堂今天有您爱吃的南瓜羹，我给您留了一份。
[2026-03-04T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-07T10:44:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-10T10:46:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-12T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。",对,命中全部关键事实,,,eld-d18-01,eld-d18-01 eld-d09-01 eld-d10-01 eld-d03-04 eld-d03-07 eld-d06-04 eld-d09-04 eld-d11-03,1.0,1.16,22,258,
Q004,eldercare,fact_recall,3月3日王秀兰对护工提了什么饮食要求？,2026-03-31T20:00:00,汤里不要放香菜，她闻不得那个味道。,"根据记忆中的记录：
[2026-03-21T12:00:00] 护工-李梅：食堂师傅，王奶奶的菜不要香菜，她忌口。
[2026-03-04T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-07T10:44:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-10T10:46:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-12T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-16T10:43:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-29T10:35:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-22T20:50:00] 护工-李梅：王奶奶今晚要右佐匹克隆吗？睡得着就先不吃。",对,命中全部关键事实,,,eld-d02-01,eld-d20-01 eld-d03-07 eld-d06-04 eld-d09-04 eld-d11-03 eld-d15-01 eld-d28-04 eld-d21-01,0.0,1.0,19,223,
Q013,eldercare,temporal_locate,上周三下午护工通知了什么事？,2026-03-25T20:00:00,书法班的周老师调课，从当周起改到周四下午两点半，地点仍是二楼活动室。,"根据记忆中的记录：
[2026-03-04T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-11T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-18T15:00:00] 护工-李梅：通知一下，书法班的周老师调课，从这周起改到周四下午两点半，还是二楼活动室。
[2026-03-19T14:30:00] 护工-李梅：王奶奶，周四下午的书法班到点了，咱们上二楼。
[2026-03-10T09:10:00] 张护士：连着三天高压都在 150 上下，我跟陈医生反映一下，看要不要换药。
[2026-03-05T14:17:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-07T14:16:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-08T14:23:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。",对,命中全部关键事实,,,eld-d17-02,eld-d03-01 eld-d10-03 eld-d17-02 eld-d18-02 eld-d09-01 eld-d04-04 eld-d06-02 eld-d07-01,1.0,0.63,14,269,
Q014,eldercare,temporal_locate,上周三下午王秀兰参加了什么活动？,2026-03-13T20:00:00,参加书法班，在二楼活动室。,"根据记忆中的记录：
[2026-03-04T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-11T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-10T09:10:00] 张护士：连着三天高压都在 150 上下，我跟陈医生反映一下，看要不要换药。
[2026-03-05T14:17:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-07T14:16:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-08T14:23:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-10T14:26:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-11T14:13:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。",对,命中全部关键事实,,,eld-d03-01,eld-d03-01 eld-d10-03 eld-d09-01 eld-d04-04 eld-d06-02 eld-d07-01 eld-d09-05 eld-d10-07,1.0,0.81,16,248,
Q015,eldercare,temporal_locate,3月24日下午王秀兰这边发生了什么？,2026-03-31T20:00:00,儿子王建国和孙女王小雨一起来探视，带了一台新收音机。,"根据记忆中的记录：
[2026-03-05T14:17:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-07T14:16:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-08T14:23:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-10T14:26:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-11T14:13:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-17T14:20:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-21T14:26:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-27T14:19:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。",错,缺少关键事实：(儿子|建国)、(孙女|小雨),,,eld-d23-01,eld-d04-04 eld-d06-02 eld-d07-01 eld-d09-05 eld-d10-07 eld-d16-03 eld-d20-02 eld-d26-03,0.0,1.47,17,227,
Q016,eldercare,temporal_locate,3月13日夜里王秀兰报告了什么身体状况？,2026-03-31T20:00:00,夜里咳嗽，躺下就咳，坐起来好一些。,"根据记忆中的记录：
[2026-03-13T22:15:00] 王秀兰：我夜里咳嗽，躺下就咳，坐起来好一些。
[2026-03-18T21:30:00] 王秀兰：这几天夜里翻来覆去睡不着，天快亮了才迷糊一会儿。
[2026-03-04T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-07T10:44:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-10T10:46:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-12T10:36:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-16T10:43:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。
[2026-03-29T10:35:00] 王秀兰：院子里那几盆月季又开花了，比上回开得旺。",对,命中全部关键事实,,,eld-d12-01 eld-d12-02,eld-d12-01 eld-d17-01 eld-d03-07 eld-d06-04 eld-d09-04 eld-d11-03 eld-d15-01 eld-d28-04,0.5,1.4,19,221,
Q025,eldercare,fact_change,王秀兰现在的降压药方案是什么？,2026-03-31T20:00:00,缬沙坦 80mg，每日一次，早饭后服用。,"根据记忆中的记录：
[2026-03-25T09:05:00] 张护士：换缬沙坦两周了，今天血压 132/82，降下来了，方案先不动。
[2026-03-10T09:10:00] 张护士：连着三天高压都在 150 上下，我跟陈医生反映一下，看要不要换药。
[2026-03-02T19:27:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-07T19:24:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-10T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-11T19:19:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-13T19:20:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。
[2026-03-21T19:17:00] 王秀兰：电视里这个节目我看过，讲的是老北京的胡同。",对,命中现行事实，且未把旧值当成现行,,,eld-d10-01 eld-d24-01,eld-d24-01 eld-d09-01 eld-d01-05 eld-d06-01 eld-d09-07 eld-d10-06 eld-d12-06 eld-d20-05,0.5,1.33,15,239,
Q026,eldercare,fact_change,王秀兰的书法班现在是周几下午？,2026-03-31T20:00:00,周四下午两点半，二楼活动室。,"根据记忆中的记录：
[2026-03-19T14:30:00] 护工-李梅：王奶奶，周四下午的书法班到点了，咱们上二楼。
[2026-03-26T14:30:00] 护工-李梅：王奶奶，周四下午的书法班到点了，咱们上二楼。
[2026-03-04T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-11T14:30:00] 护工-李梅：王奶奶，周三下午的书法班开始了，我陪您上二楼活动室。
[2026-03-18T15:00:00] 护工-李梅：通知一下，书法班的周老师调课，从这周起改到周四下午两点半，还是二楼活动室。
[2026-03-05T14:17:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-07T14:16:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。
[2026-03-08T14:23:00] 王秀兰：下午我想听会儿评剧，你帮我把收音机调一下。",错,把已失效的旧值当成现行事实陈述：周三,,,eld-d17-02 eld-d25-01,eld-d18-02 eld-d25-01 eld-d03-01 eld-d10-03 eld-d17-02 eld-d04-04 eld-d06-02 eld-d07-01,1.0,1.33,15,264,
